"cond((Int))","disp((Int))","cond(DaylightPercent)","cond(Gear)","cond(logEffort)","cond(MudDominant)","cond(Occlusion)","cond(Season)","cond(SecchiDepth)","cond(Steepness)","cond(Temperature)","cond(DaylightPercent:Gear)","cond(Gear:logEffort)","cond(Gear:Occlusion)","cond(Gear:SecchiDepth)","R2.LR","df","logLik","AICc","delta","weight"
1.31292305415698,"+",-0.0971538887819175,"+",-0.103124384989752,"+",NA,"+",-0.130450767091937,"+",NA,NA,"+",NA,NA,0.240819742939372,15,-125.549087964766,288.156999458944,11.0026064290013,8.68848127875602e-05
0.987625230897701,"+",NA,"+",-0.0810191865033991,NA,-0.0330819399467081,"+",NA,NA,0.0951974911845133,NA,"+","+",NA,0.213372186771806,14,-127.040758962457,288.168474446653,11.0140814167097,8.63877390505153e-05
0.950436537463511,"+",NA,"+",0.0678969502045193,"+",-0.0208084860251742,NA,-0.144683663296545,NA,0.0792950762392171,NA,NA,"+",NA,0.18582334177135,13,-128.486489226308,288.172978452616,11.018585422673,8.61934124987114e-05
0.97445211327996,"+",NA,"+",-0.0874700789768155,NA,-0.145554182934591,"+",-0.185303946257241,"+",0.110080666650846,NA,"+",NA,NA,0.240615002847428,15,-125.560413238922,288.179650007256,11.0252569773131,8.59063694901102e-05
0.915130846216034,"+",-0.114501146015691,"+",0.0532507935912807,NA,-0.100825476732293,NA,-0.0557215663529587,"+",0.0395709285451959,NA,NA,"+",NA,0.240563850129731,15,-125.563242293743,288.185308116898,11.030915086955,8.56636791154041e-05
0.837819215081281,"+",-0.138058377276081,"+",0.0943652677476041,NA,-0.107348586919382,NA,-0.167351787487694,NA,0.0628447485253232,"+",NA,NA,"+",0.240535164196808,15,-125.564828716024,288.188480961459,11.0340879315163,8.55278880856507e-05
0.955605661344602,"+",-0.080719584780223,"+",-0.0819177892916911,NA,NA,"+",-0.182201554461502,NA,0.0795469307512646,NA,"+",NA,"+",0.240411171279128,15,-125.571685225015,288.202193979441,11.0478009494979,8.49434711714749e-05
1.04858409386604,"+",-0.123673128465775,"+",-0.078708275380132,"+",-0.116192811967753,NA,-0.0794092567362194,"+",NA,NA,"+",NA,NA,0.240352080632695,15,-125.574952401318,288.208728332048,11.054335302105,8.46663987440227e-05
0.930451374600553,"+",-0.120491135775413,"+",-0.0722569544068517,NA,-0.142327177599148,NA,-0.0767563816960156,"+",0.0328606869625375,NA,"+",NA,NA,0.240315020417302,15,-125.577001365107,288.212826259626,11.0584332296833,8.4493097962981e-05
0.915570933973215,"+",-0.144202468349448,"+",NA,NA,-0.0612304902316677,"+",-0.0896120872064998,NA,NA,"+",NA,"+",NA,0.212871577560741,14,-127.067479222046,288.221914965832,11.067521935889,8.41100026106413e-05
1.03843581267159,"+",NA,"+",NA,"+",-0.0586757593104258,"+",-0.268358433819882,NA,NA,NA,NA,NA,"+",0.157668838084476,12,-129.914315915379,288.222998027941,11.068604997998,8.40644667628823e-05
0.971366391340814,"+",-0.145304867959453,"+",NA,"+",NA,NA,-0.17804834522436,NA,NA,"+",NA,NA,"+",0.185302129325668,13,-128.513367814041,288.226735628082,11.0723425981395,8.39075137839981e-05
1.0809497281765,"+",-0.125657001560634,"+",0.0503638887692579,"+",-0.0696356758023653,"+",NA,"+",NA,NA,NA,"+",NA,0.240109359668496,15,-125.588370001705,288.235563532821,11.0811705028783,8.35379661974323e-05
0.908587998764343,"+",-0.121423546423402,"+",0.116204455917024,NA,-0.101155935561782,"+",-0.194090424451639,NA,NA,"+",NA,NA,"+",0.240094319652851,15,-125.589201271854,288.23722607312,11.0828330431766,8.34685524346033e-05
0.953917698954423,"+",-0.13117351872021,"+",-0.0953350906277036,NA,NA,"+",-0.147667798259318,NA,0.0800883504638521,"+","+",NA,NA,0.239998727999026,15,-125.594484291923,288.247792113257,11.0933990833141,8.30287491646514e-05
0.9707390083984,"+",NA,"+",NA,NA,-0.0891615136153255,"+",-0.232893919808585,NA,0.115482963294003,NA,NA,"+","+",0.212545325730961,14,-127.084883926918,288.256724375575,11.1023313456318,8.26587587088752e-05
1.02510777378616,"+",-0.10168270666486,"+",-0.0800588106872788,NA,-0.139514366519624,"+",-0.152658753470031,"+",NA,NA,"+",NA,"+",0.293987559304674,17,-122.499619865633,288.271967003993,11.1175739740497,8.20311848431285e-05
1.14471078674756,"+",NA,"+",-0.0666760560460943,"+",NA,NA,-0.142140594611995,"+",0.0259387203088239,NA,"+",NA,NA,0.21232593138852,14,-127.096584002208,288.280124526156,11.1257314962131,8.16972806595097e-05
0.933595402907243,"+",NA,"+",NA,"+",-0.0532208631934963,NA,-0.231516678577013,NA,NA,NA,NA,NA,"+",0.129235789015805,11,-131.30863143876,288.283929544187,11.1295365142443,8.15419986060985e-05
0.841981838863717,"+",-0.112821691756799,"+",-0.0547789763773753,NA,-0.0988226865595496,NA,-0.149398765980614,NA,0.0695707820373616,NA,"+",NA,"+",0.239666167366478,15,-125.612858592098,288.284540713608,11.1301476836647,8.15170844249718e-05
0.921009482524556,"+",-0.131446507008683,"+",0.094305719448737,NA,-0.0563533532696905,"+",-0.107746913429892,NA,NA,"+",NA,"+",NA,0.239523770540136,15,-125.620723698824,288.300270927059,11.1458778971158,8.08784585783425e-05
0.98106984641387,"+",-0.0882027428008672,"+",-0.0916772543600609,NA,-0.145956356187433,"+",-0.132989612457842,"+",0.0800830478657713,NA,"+",NA,NA,0.266531932353162,16,-124.101970420702,288.323343826478,11.1689507965351,7.99507697151132e-05
0.996105165071538,"+",NA,"+",NA,NA,-0.145375099428358,"+",-0.216184433348206,"+",NA,NA,NA,NA,"+",0.184280249205074,13,-128.566015638893,288.332031277785,11.1776382478423,7.96042386684384e-05
1.18785753722391,"+",-0.175077225496436,"+",NA,"+",NA,"+",NA,"+",0.0278189937804407,"+",NA,NA,NA,0.211828409570001,14,-127.123104260652,288.333165043042,11.1787720130993,7.95591251966118e-05
