"cond((Int))","disp((Int))","cond(DaylightPercent)","cond(Gear)","cond(logEffort)","cond(MudDominant)","cond(Occlusion)","cond(Season)","cond(SecchiDepth)","cond(Steepness)","cond(Temperature)","cond(DaylightPercent:Gear)","cond(Gear:logEffort)","cond(Gear:Occlusion)","cond(Gear:SecchiDepth)","R2.LR","df","logLik","AICc","delta","weight"
1.156330623692,"+",NA,"+",0.0644754954806679,"+",-0.0790255025925465,"+",NA,"+",0.0881616720652244,NA,NA,"+",NA,0.238627947808627,15,-146.862055955732,330.782935440877,18.4548827502937,2.0814467520359e-06
1.24958155871026,"+",-0.149900436589799,"+",0.093969432884878,"+",-0.0990917077685847,"+",-0.22295770933674,"+",0.0664010577593607,"+",NA,NA,"+",0.346345621185267,19,-140.455233220732,330.785466441464,18.4574137508812,2.07881434656603e-06
1.09452719273215,"+",NA,"+",0.10420933593234,NA,-0.105269478997225,NA,-0.211868038849508,"+",NA,NA,NA,"+","+",0.238475398472219,15,-146.870470278707,330.799764086826,18.4717113962427,2.06400626465679e-06
1.00394694218069,"+",NA,"+",-0.0375226649202808,NA,-0.0660571516328096,NA,-0.205714311544473,NA,0.0843473201147539,NA,"+","+","+",0.265434333319219,16,-145.356660766565,330.832724518204,18.5046718276211,2.03026975229086e-06
1.21703337622778,"+",-0.179916249759704,"+",-0.0956874576019071,NA,-0.134890450293509,"+",-0.130398625849986,"+",NA,"+","+","+","+",0.397926191385631,21,-137.002888008017,330.909001822486,18.5809491319026,1.95429597792345e-06
1.00251832355174,"+",NA,"+",-0.0316042165833775,NA,-0.048364284456404,NA,-0.20648232095644,NA,NA,NA,"+","+","+",0.237297807957186,15,-146.935367197827,330.929557925066,18.6015052344835,1.93431249517416e-06
1.19699674717849,"+",NA,"+",NA,NA,-0.124864554898012,"+",-0.224144678912635,"+",NA,NA,NA,"+","+",0.236722150584508,15,-146.967055175576,330.992933880564,18.664881189981,1.87397901531152e-06
1.28719942389813,"+",-0.193426656388997,"+",NA,"+",-0.0911558521916025,NA,-0.144861440617443,"+",NA,"+",NA,"+","+",0.317942571859436,18,-142.241708293373,331.006493509824,18.6784408192406,1.86131675735108e-06
1.1884950080985,"+",NA,"+",-0.0584898313941166,"+",-0.0903198169418437,NA,-0.221991483164544,"+",0.037750039092615,NA,"+",NA,"+",0.290934377447793,17,-143.872745489571,331.018218251869,18.6901655612861,1.85043694982199e-06
1.31404757600186,"+",NA,"+",-0.0985376875351369,"+",-0.0808730562994212,"+",-0.2833666144773,"+",0.105907588638221,NA,"+","+","+",0.370497006535832,20,-138.874011751142,331.081356835618,18.7533041450345,1.7929324299126e-06
1.17643674510359,"+",-0.17601066560151,"+",NA,NA,-0.141885768759279,"+",-0.138186634588659,"+",NA,"+",NA,"+","+",0.317267926894315,18,-142.283231313322,331.089539549721,18.7614868591379,1.78561188885756e-06
1.26919585473835,"+",NA,"+",-0.103287989846357,"+",-0.0650564977280359,"+",NA,"+",0.0739743926045697,NA,"+","+",NA,0.290317583539899,17,-143.909264089141,331.091255451009,18.7632027604258,1.78408057897573e-06
